province,date,cpi
NS,2019-03,136.8
NS,2019-04,137.4
NS,2019-05,137.8
NS,2019-06,137.4
NS,2019-07,138.5
NS,2019-08,138.4
NS,2019-09,138.4
NS,2019-10,138
NS,2019-11,138.4
NS,2019-12,137.9
NS,2020-01,138.5
NS,2020-02,139.1
NS,2020-03,138
NS,2020-04,136.6
NS,2020-05,136.5
NS,2020-06,137.6
NS,2020-07,137.8
NS,2020-08,137.5
NS,2020-09,137.5
NS,2020-10,138.4
NS,2020-11,138.7
NS,2020-12,138.7
NS,2021-01,140.3
NS,2021-02,140.8
NS,2021-03,141.8
NS,2021-04,142.3
NS,2021-05,143.1
NS,2021-06,143.2
NS,2021-07,144.2
NS,2021-08,144.5
NS,2021-09,144.6
NS,2021-10,145.9
NS,2021-11,146
NS,2021-12,145.4
NS,2022-01,147.2
NS,2022-02,148.8
NS,2022-03,151.4
NS,2022-04,152.4
NS,2022-05,155.7
NS,2022-06,156.5
NS,2022-07,156.7
NS,2022-08,155.7
NS,2022-09,155.2
NS,2022-10,157.1
NS,2022-11,158.5
NS,2022-12,156.4
NS,2023-01,157.3
NS,2023-02,158.4
NS,2023-03,158.4
NS,2023-04,159.3
NS,2023-05,158.8
NS,2023-06,159.4
NS,2023-07,162.1
NS,2023-08,163
NS,2023-09,162.7
NS,2023-10,162.2
NS,2023-11,162.5
NS,2023-12,162.1
NS,2024-01,162
NS,2024-02,162.8
NS,2024-03,163.7
NS,2024-04,164.3
NS,2024-05,164.7
NS,2024-06,165
NS,2024-07,165.9
NS,2024-08,165
NS,2024-09,164.1
NS,2024-10,164.6
NS,2024-11,165.2
NS,2024-12,163.6
NS,2025-01,164.1
NS,2025-02,166.3
NS,2025-03,167.4
NS,2025-04,166.5
NS,2025-05,166.9
NS,2025-06,167.7
NS,2025-07,168.6
NS,2025-08,168.6
ON,2010-01,114.5
ON,2010-02,115.1
ON,2010-03,115.3
ON,2010-04,115.7
ON,2010-05,116.2
ON,2010-06,116
ON,2010-07,117
ON,2010-08,117
ON,2010-09,117.1
ON,2010-10,117.8
ON,2010-11,118
ON,2010-12,117.9
ON,2011-01,117.8
ON,2011-02,118
ON,2011-03,119.4
ON,2011-04,119.9
ON,2011-05,120.9
ON,2011-06,120.2
ON,2011-07,120.5
ON,2011-08,120.6
ON,2011-09,121.1
ON,2011-10,121
ON,2011-11,121
ON,2011-12,120.3
ON,2012-01,120.6
ON,2012-02,121.4
ON,2012-03,122
ON,2012-04,122.4
ON,2012-05,122.4
ON,2012-06,121.6
ON,2012-07,121.4
ON,2012-08,121.8
ON,2012-09,122
ON,2012-10,122.2
ON,2012-11,121.9
ON,2012-12,121.3
ON,2013-01,121.3
ON,2013-02,122.8
ON,2013-03,123.2
ON,2013-04,122.9
ON,2013-05,123
ON,2013-06,123.2
ON,2013-07,123.4
ON,2013-08,123.4
ON,2013-09,123.5
ON,2013-10,123.3
ON,2013-11,123.3
ON,2013-12,123.1
ON,2014-01,123.3
ON,2014-02,124.6
ON,2014-03,125.1
ON,2014-04,125.9
ON,2014-05,126.5
ON,2014-06,126.9
ON,2014-07,126.5
ON,2014-08,126.5
ON,2014-09,126.7
ON,2014-10,126.8
ON,2014-11,126.3
ON,2014-12,125.4
ON,2015-01,125.3
ON,2015-02,126.2
ON,2015-03,127.1
ON,2015-04,126.9
ON,2015-05,127.7
ON,2015-06,128.2
ON,2015-07,128.4
ON,2015-08,128
ON,2015-09,127.8
ON,2015-10,127.9
ON,2015-11,127.9
ON,2015-12,127.5
ON,2016-01,127.8
ON,2016-02,128.2
ON,2016-03,129
ON,2016-04,129.6
ON,2016-05,130.1
ON,2016-06,130.4
ON,2016-07,130.3
ON,2016-08,129.9
ON,2016-09,130.1
ON,2016-10,130.6
ON,2016-11,130.2
ON,2016-12,130
ON,2017-01,130.8
ON,2017-02,131.2
ON,2017-03,131.4
ON,2017-04,132
ON,2017-05,131.9
ON,2017-06,132.1
ON,2017-07,131.9
ON,2017-08,131.8
ON,2017-09,132.3
ON,2017-10,132.3
ON,2017-11,132.7
ON,2017-12,132
ON,2018-01,133.2
ON,2018-02,134
ON,2018-03,134.6
ON,2018-04,134.8
ON,2018-05,134.9
ON,2018-06,135.3
ON,2018-07,136
ON,2018-08,135.9
ON,2018-09,135.2
ON,2018-10,135.6
ON,2018-11,135.1
ON,2018-12,135
ON,2019-01,135.2
ON,2019-02,136
ON,2019-03,137
ON,2019-04,137.4
ON,2019-05,138.1
ON,2019-06,138
ON,2019-07,138.8
ON,2019-08,138.5
ON,2019-09,137.5
ON,2019-10,137.9
ON,2019-11,137.7
ON,2019-12,137.8
ON,2020-01,138
ON,2020-02,138.7
ON,2020-03,137.9
ON,2020-04,137.3
ON,2020-05,137.5
ON,2020-06,138.6
ON,2020-07,138.8
ON,2020-08,138.6
ON,2020-09,138.3
ON,2020-10,138.9
ON,2020-11,139
ON,2020-12,138.8
ON,2021-01,139.5
ON,2021-02,140.2
ON,2021-03,141
ON,2021-04,141.8
ON,2021-05,142.6
ON,2021-06,143.1
ON,2021-07,143.7
ON,2021-08,144.1
ON,2021-09,144.4
ON,2021-10,145.7
ON,2021-11,146
ON,2021-12,146
ON,2022-01,147.4
ON,2022-02,148.8
ON,2022-03,150.8
ON,2022-04,151.6
ON,2022-05,153.7
ON,2022-06,154.4
ON,2022-07,154.6
ON,2022-08,154.1
ON,2022-09,154.1
ON,2022-10,155.2
ON,2022-11,155.4
ON,2022-12,154.8
ON,2023-01,155.7
ON,2023-02,156.4
ON,2023-03,157.3
ON,2023-04,157.9
ON,2023-05,158.5
ON,2023-06,158.4
ON,2023-07,159.6
ON,2023-08,159.9
ON,2023-09,159.7
ON,2023-10,160.3
ON,2023-11,160.6
ON,2023-12,160
ON,2024-01,159.9
ON,2024-02,160.2
ON,2024-03,161.4
ON,2024-04,162.2
ON,2024-05,163.2
ON,2024-06,163.1
ON,2024-07,163.9
ON,2024-08,163.3
ON,2024-09,162.8
ON,2024-10,163.5
ON,2024-11,163.5
ON,2024-12,162.7
ON,2025-01,162.6
ON,2025-02,164.6
ON,2025-03,165.1
ON,2025-04,164.8
ON,2025-05,165.9
ON,2025-06,166
ON,2025-07,166.5
ON,2025-08,166
PE,2010-01,118.7
PE,2010-02,118.8
PE,2010-03,119.3
PE,2010-04,119.1
PE,2010-05,119.2
PE,2010-06,119.2
PE,2010-07,119.5
PE,2010-08,119.7
PE,2010-09,119.6
PE,2010-10,120.4
PE,2010-11,120.5
PE,2010-12,119.9
PE,2011-01,120.1
PE,2011-02,121.1
PE,2011-03,122.2
PE,2011-04,123.3
PE,2011-05,123.9
PE,2011-06,123.3
PE,2011-07,123.3
PE,2011-08,123.9
PE,2011-09,123.7
PE,2011-10,123.9
PE,2011-11,124
PE,2011-12,123.4
PE,2012-01,123.6
PE,2012-02,124.8
PE,2012-03,125.6
PE,2012-04,126.3
PE,2012-05,125.9
PE,2012-06,125.2
PE,2012-07,125.2
PE,2012-08,125.6
PE,2012-09,126.2
PE,2012-10,126.5
PE,2012-11,125.9
PE,2012-12,124.9
PE,2013-01,125.2
PE,2013-02,126.7
PE,2013-03,127.1
PE,2013-04,128.6
PE,2013-05,127.9
PE,2013-06,127.9
PE,2013-07,128.1
PE,2013-08,128.6
PE,2013-09,129
PE,2013-10,129
PE,2013-11,129.2
PE,2013-12,128.6
PE,2014-01,129.2
PE,2014-02,130.1
PE,2014-03,130.9
PE,2014-04,130.5
PE,2014-05,130.6
PE,2014-06,130.5
PE,2014-07,130.4
PE,2014-08,130.2
PE,2014-09,130.5
PE,2014-10,130.5
PE,2014-11,129.3
